98,275,1766,1,7
100,277,2111,2,5
120,290,2455.83,2,5
227,367,2973,3,5
300,360,3490.24,3,3
447,280,3835,4,5
447,220,4179.83,4,3
388,145,4524,1,8
388,143,4869,2,5
392,125,5213.83,2,3
282,14,5731,3,5
278,54,6248.24,3,3
189,177,6593,4,5
169,178,6937.83,4,3
66,236,7283,1,8
66,236,7628,2,5
62,216,7972.83,2,0
199,365,8490,3,5
229,345,9007.24,3,3
251,212,9352,4,5
245,192,9696.83,4,3
216,52,10042,1,8
287,1,10387,2,8
370,26,10731,3,8
423,95,11076,4,5
417,125,11765.66,4,3
270,368,12455,5,4
207,306,12800,1,5
187,307,13144.83,1,0
73,376,13490,2,8
10,260,14007,3,5
10,235,14524.24,3,0
65,91,14869,4,8
65,91,15214,5,68
121,24,15559,1,5
131,24,15903.83,1,0
233,110,16249,2,8
318,209,16766,3,5
343,211,17283.24,3,0
451,111,17628,4,8
451,111,17973,5,68
400,39,18318,1,5
390,41,18662.83,1,0
276,125,19007,2,8
173,207,19524,3,5
153,202,20041.24,3,0
13,259,20387,4,8
13,259,20731,5,68
58,334,21076,1,5
68,334,21420.83,1,0
217,296,21766,2,8
292,341,22111,3,5
312,331,22800.66,3,0
494,235,23145,4,5
494,225,23489.83,4,4
436,97,23835,1,5
440,82,24490.33,1,0
436,97,24524.66,1,5
322,163,25042,2,8
247,115,25387,3,5
227,120,25904.24,3,0
172,240,26249,4,8
130,317,26593,5,5
110,314,27282.66,5,0
8,162,27800,6,5
11,142,28317.24,6,0
110,10,28662,7,48
177,66,29007,8,68
259,36,29352,1,5
284,38,30041.66,1,0
493,119,30559,2,5
493,139,31076.24,2,0
427,273,31421,3,5
417,270,31765.83,3,6
286,320,32111,1,5
276,318,32455.83,1,37
167,263,32800,2,3
206,184,33145,3,6
157,110,33490,4,5
137,105,34179.66,4,0
43,322,34861,1,48
121,361,35199,2,68
192,310,35538,3,5
202,314,35876.98,3,0
332,379,36216,4,8
416,354,36555,5,68
454,275,36894,6,5
450,265,37232.98,6,0
417,115,37572,1,5
437,117,38080.47,1,0
248,242,38589,2,5
250,252,38922.97,2,0
248,242,39266.97,2,5
163,218,39606,3,5
160,148,39944.98,3,0
177,120,40115,1,5
174,100,40623.47,1,0
78,0,40962,2,8
10,55,41301,3,5
10,45,41639.98,3,8
66,192,41979,4,68
13,262,42318,5,8
70,327,42657,6,68
155,307,42996,1,5
175,317,43504.47,1,0
373,304,44013,2,5
373,274,44690.97,2,0
292,145,45030,3,5
282,148,45368.98,3,68
133,185,45708,1,48
71,122,46047,2,68
106,41,46386,3,5
116,38,46724.98,3,0
262,7,47064,4,8
338,50,47403,5,68
418,15,47742,6,5
420,25,48080.98,6,0
381,158,48420,1,8
442,220,48759,2,68
386,287,49098,3,8
434,360,49437,4,5
444,361,49787,4,0
434,360,50114.97,4,5
386,287,50454,5,5
376,277,50792.98,5,0
307,206,50962,1,5
287,200,51470.47,1,0
197,321,51810,2,8
117,358,52149,3,5
107,354,52487.98,3,8
19,251,52827,4,68
41,166,53166,5,8
64,81,53505,6,68
144,47,53844,1,5
154,50,54182.98,1,0
282,22,54522,2,68
352,74,54861,3,68
305,148,55199,4,5
305,118,55876.97,4,0
365,359,56216,5,6
452,364,56555,1,5
457,334,57232.97,1,0
412,139,57742,2,8
412,139,58081,3,8
340,28,58589,4,5
330,28,58927.98,4,8
197,71,59267,1,5
177,65,59944.97,1,0
6,166,60454,2,8
6,166,60793,3,68
94,263,61301,4,5
90,268,61526.49,4,0
94,263,61752.98,4,5
150,247,61979,1,5
160,250,62317.98,1,0
262,347,62657,2,5
272,345,62995.98,2,0
375,354,63166,3,5
375,324,63843.97,3,0
296,156,64183,4,68
220,111,64522,1,5
225,91,65030.47,1,0
325,7,65369,2,5
399,53,65708,3,68
486,51,66047,4,5
480,71,66555.47,4,0
443,295,67064,1,8
443,295,67403,2,8
201,43,68759,3,4
201,43,69098,4,4
116,11,69437,5,5
96,31,69945.47,5,0
24,104,70115,1,5
27,134,70792.97,1,0
171,315,71301,2,5
181,295,71809.47,2,0
168,154,72149,3,8
212,78,72488,4,68
299,75,72827,1,5
329,78,73504.97,1,0
496,229,74013,2,5
476,232,74521.47,2,0
320,313,74861,3,8
235,289,75199,4,68
163,339,75538,1,5
153,309,76215.97,1,0
38,144,76725,2,5
42,124,77233.47,2,0
147,9,77572,3,8
209,70,77911,4,468
162,144,78250,1,468
255,237,78759,2,468
373,179,79267,3,468
373,47,79776,4,468
247,8,80284,5,5
237,13,80622.98,5,3
91,33,80962,1,5
96,300,81978.95,1,3
97,332,82318,2,48
256,192,82488,3,5
