98,275,1766
98,275,2111
120,290,2455.83
227,367,2973
300,360,3490.24
447,280,3835
447,220,4179.83
388,145,4524
388,145,4869
392,125,5213.83
282,14,5731
278,54,6248.24
189,177,6593
169,178,6937.83
66,236,7283
66,236,7628
62,216,7972.83
199,365,8490
229,345,9007.24
251,212,9352
245,192,9696.83
216,52,10042
287,1,10387
370,26,10731
423,95,11076
417,125,11765.66
270,368,12455
207,306,12800
187,307,13144.83
73,376,13490
10,260,14007
10,235,14524.24
65,91,14869
65,91,15214
121,24,15559
131,24,15903.83
233,110,16249
318,209,16766
343,211,17283.24
451,111,17628
451,111,17973
400,39,18318
390,41,18662.83
276,125,19007
173,207,19524
153,202,20041.24
13,259,20387
13,259,20731
58,334,21076
68,334,21420.83
217,296,21766
292,341,22111
312,331,22800.66
494,235,23145
494,225,23489.83
436,97,23835
440,82,24490.33
436,97,24524.66
322,163,25042
247,115,25387
227,120,25904.24
172,240,26249
130,317,26593
110,314,27282.66
8,162,27800
11,142,28317.24
110,10,28662
177,66,29007
259,36,29352
284,38,30041.66
493,119,30559
493,139,31076.24
427,273,31421
417,270,31765.83
286,320,32111
276,318,32455.83
167,263,32800
206,184,33145
157,110,33490
137,105,34179.66
43,322,34861
121,361,35199
192,310,35538
202,314,35876.98
332,379,36216
416,354,36555
454,275,36894
450,265,37232.98
417,115,37572
437,117,38080.47
248,242,38589
250,252,38922.97
248,242,39266.97
163,218,39606
160,148,39944.98
177,120,40115
174,100,40623.47
78,0,40962
10,55,41301
10,45,41639.98
66,192,41979
13,262,42318
70,327,42657
155,307,42996
175,317,43504.47
373,304,44013
373,274,44690.97
292,145,45030
282,148,45368.98
133,185,45708
71,122,46047
106,41,46386
116,38,46724.98
262,7,47064
338,50,47403
418,15,47742
420,25,48080.98
381,158,48420
442,220,48759
386,287,49098
434,360,49437
444,361,49787
434,360,50114.97
386,287,50454
376,277,50792.98
307,206,50962
287,200,51470.47
197,321,51810
117,358,52149
107,354,52487.98
19,251,52827
41,166,53166
64,81,53505
144,47,53844
154,50,54182.98
282,22,54522
352,74,54861
305,148,55199
305,118,55876.97
365,359,56216
452,364,56555
457,334,57232.97
412,139,57742
412,139,58081
340,28,58589
330,28,58927.98
197,71,59267
177,65,59944.97
6,166,60454
6,166,60793
94,263,61301
90,268,61526.49
94,263,61752.98
150,247,61979
160,250,62317.98
262,347,62657
272,345,62995.98
375,354,63166
375,324,63843.97
296,156,64183
220,111,64522
225,91,65030.47
325,7,65369
399,53,65708
486,51,66047
480,71,66555.47
443,295,67064
443,295,67403
201,43,68759
201,43,69098
116,11,69437
96,31,69945.47
24,104,70115
27,134,70792.97
171,315,71301
181,295,71809.47
168,154,72149
212,78,72488
299,75,72827
329,78,73504.97
496,229,74013
476,232,74521.47
320,313,74861
235,289,75199
163,339,75538
153,309,76215.97
38,144,76725
42,124,77233.47
147,9,77572
209,70,77911
162,144,78250
255,237,78759
373,179,79267
373,47,79776
247,8,80284
237,13,80622.98
91,33,80962
96,300,81978.95
97,332,82318
256,192,82488
